 file:hw4_main.cpp ,function:main ,line:19 start of logging
 file:dynamic_stack.h ,function:InitializeStack ,line:17 
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 55
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PopInt ,line:55 
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 15
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 16
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 17
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 18
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 19
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 20
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 21
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 22
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 23
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 24
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 25
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 26
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 27
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 28
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 29
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 30
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 31
 file:dynamic_stack.h ,function:Size ,line:25 
 file:dynamic_stack.h ,function:PushInt ,line:32 PushInt -> 32
